from;r120670124124-biomass_gas;r120670124124-biomass_gas-bpchp_heat_high;r120670124124-biomass_gas-bpchp_heat_high;r120670124124-biomass_gas;r120670124124-biomass_gas-bpchp_heat_low_central;r120670124124-biomass_gas-bpchp_heat_low_central;r120670124124-biomass_gas;r120670124124-biomass_gas-bpchp_heat_low_decentral;r120670124124-biomass_gas-bpchp_heat_low_decentral;r120670124124-biomass_solid;r120670124124-biomass_solid-bpchp_heat_high;r120670124124-biomass_solid-bpchp_heat_high;r120670124124-biomass_solid;r120670124124-biomass_solid-bpchp_heat_low_central;r120670124124-biomass_solid-bpchp_heat_low_central;r120670124124-biomass_solid;r120670124124-biomass_solid-bpchp_heat_low_decentral;r120670124124-biomass_solid-bpchp_heat_low_decentral;r120670124124-h2;r120670124124-h2-bpchp_heat_high;r120670124124-h2-bpchp_heat_high;r120670124124-residual_waste;r120670124124-residual_waste-bpchp_heat_high;r120670124124-residual_waste-bpchp_heat_high;r120670124124-residual_waste;r120670124124-residual_waste-bpchp_heat_low_central;r120670124124-residual_waste-bpchp_heat_low_central
to;r120670124124-biomass_gas-bpchp_heat_high;r120670124124-electricity;r120670124124-heat_high;r120670124124-biomass_gas-bpchp_heat_low_central;r120670124124-electricity;r120670124124-heat_low_central;r120670124124-biomass_gas-bpchp_heat_low_decentral;r120670124124-electricity;r120670124124-heat_low_decentral;r120670124124-biomass_solid-bpchp_heat_high;r120670124124-electricity;r120670124124-heat_high;r120670124124-biomass_solid-bpchp_heat_low_central;r120670124124-electricity;r120670124124-heat_low_central;r120670124124-biomass_solid-bpchp_heat_low_decentral;r120670124124-electricity;r120670124124-heat_low_decentral;r120670124124-h2-bpchp_heat_high;r120670124124-electricity;r120670124124-heat_high;r120670124124-residual_waste-bpchp_heat_high;r120670124124-electricity;r120670124124-heat_high;r120670124124-residual_waste-bpchp_heat_low_central;r120670124124-electricity;r120670124124-heat_low_central
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4656866300783672;0.06519612821097141;0.45390475833738453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3206756931970354;0.18489459704758496;1.2872625981591503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3002033499038235;0.1820284689865353;1.2673082051512568;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
