from;r120640472472-biomass_gas;r120640472472-biomass_gas;r120640472472-biomass_gas;r120640472472-biomass_gas-commodity
to;r120640472472-biomass_gas-bpchp_heat_high;r120640472472-biomass_gas-bpchp_heat_low_central;r120640472472-biomass_gas-bpchp_heat_low_decentral;r120640472472-biomass_gas
type;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;0.0;0.0;0.0
2019-01-01 20:00:00;0.0;0.0;0.0;0.0
2019-01-01 21:00:00;0.0;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;0.0;0.0
2019-01-02 04:00:00;0.0;0.0;0.0;0.0
2019-01-02 05:00:00;0.0;0.0;0.1327025300903731;0.1327025300903731
2019-01-02 06:00:00;0.0;0.0;5.467055984166644;5.467055984166644
2019-01-02 07:00:00;0.0;0.0;3.875361717063357;3.875361717063357
2019-01-02 08:00:00;0.0;0.0;3.7108742836103374;3.7108742836103374
2019-01-02 09:00:00;0.0;0.0;2.478902570235881;2.478902570235881
2019-01-02 10:00:00;0.0;0.0;1.3795721343624252;1.3795721343624252
2019-01-02 11:00:00;0.0;0.0;0.7288702573324751;0.7288702573324751
2019-01-02 12:00:00;0.0;0.0;0.026876122432434098;0.026876122432434098
2019-01-02 13:00:00;0.0;0.0;0.0;0.0
2019-01-02 14:00:00;0.0;0.0;0.0;0.0
2019-01-02 15:00:00;0.0;0.0;0.0;0.0
2019-01-02 16:00:00;0.0;0.0;1.2234407544332784;1.2234407544332784
2019-01-02 17:00:00;0.0;0.0;2.426399096601288;2.426399096601288
2019-01-02 18:00:00;0.0;0.0;2.374531888041818;2.374531888041818
2019-01-02 19:00:00;0.0;0.0;1.9707799324350257;1.9707799324350257
2019-01-02 20:00:00;0.0;0.0;1.117945238575215;1.117945238575215
2019-01-02 21:00:00;0.0;0.0;0.0;0.0
2019-01-02 22:00:00;0.0;0.0;0.0;0.0
2019-01-02 23:00:00;0.0;0.0;0.0;0.0
2019-01-03 00:00:00;0.0;0.0;0.0;0.0
2019-01-03 01:00:00;0.0;0.0;0.0;0.0
2019-01-03 02:00:00;0.0;0.0;0.0;0.0
2019-01-03 03:00:00;0.0;0.0;0.0;0.0
2019-01-03 04:00:00;0.0;0.0;0.0;0.0
2019-01-03 05:00:00;0.0;0.0;1.38574655738277;1.38574655738277
2019-01-03 06:00:00;0.0;0.0;9.043059417698299;9.043059417698299
2019-01-03 07:00:00;0.0;0.0;8.00569139040538;8.00569139040538
2019-01-03 08:00:00;0.0;0.0;7.845782814412911;7.845782814412911
2019-01-03 09:00:00;0.0;0.0;6.731742611817978;6.731742611817978
2019-01-03 10:00:00;0.0;0.0;5.209364467377596;5.209364467377596
2019-01-03 11:00:00;0.0;0.0;3.5971266053185422;3.5971266053185422
2019-01-03 12:00:00;0.0;0.0;3.2142822244811993;3.2142822244811993
2019-01-03 13:00:00;0.0;0.0;2.6803818702170696;2.6803818702170696
